ProviderType,DFTA ID,ContractYear,SponsorName,ProgramName,ServiceID,ServiceName,BudgetedUnits
ELDER ABUSE SERVICES CONTRACTS,62001,2019,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,ELDER ABUSE MULTIDISCIPLINARY TEAMS SERV,EMDT,ELD ABUSE MULTDISCIPLINRY,970
ELDER ABUSE SERVICES CONTRACTS,64701,2019,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,Weill Cornell PROTECT,PCLS,PROTECT CLINICAL SESSIONS,350
ELDER ABUSE SERVICES CONTRACTS,64701,2019,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,Weill Cornell PROTECT,PTRS,PROTECT TRAINING SESSIONS,28
CAREGIVER SERVICES CONTRACTS,1K101,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER SUPPORT PROGRAM,CAST,CRGV ASSISTANCE,800
CAREGIVER SERVICES CONTRACTS,1K101,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER SUPPORT PROGRAM,CCNS,CRGV COUNSELING,660
CAREGIVER SERVICES CONTRACTS,1K101,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER SUPPORT PROGRAM,CINF,CRGV INFORMATION,500
CAREGIVER SERVICES CONTRACTS,1K101,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER SUPPORT PROGRAM,CORS,CRGV OTHER RESPITE,262
CAREGIVER SERVICES CONTRACTS,1K101,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER SUPPORT PROGRAM,COTR,CRGV OUTREACH,400
CAREGIVER SERVICES CONTRACTS,1K101,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER SUPPORT PROGRAM,CPUB,CRGV PUBLIC INFO,300
CAREGIVER SERVICES CONTRACTS,1K101,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER SUPPORT PROGRAM,CRTR,CRGV TRAINING,70
CAREGIVER SERVICES CONTRACTS,1K101,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER SUPPORT PROGRAM,CSUG,CRGV SUPPORT GROUPS,70
CAREGIVER SERVICES CONTRACTS,1K101,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER SUPPORT PROGRAM,GPRS,CRGV GROUP RESPITE,2000
CAREGIVER SERVICES CONTRACTS,1K101,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER SUPPORT PROGRAM,INRS,CRGV INDIVIDUAL RESPITE,9080
CAREGIVER SERVICES CONTRACTS,1K101,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER SUPPORT PROGRAM,SUPS,CRGV SUPPLEMENTAL SERV,800
CAREGIVER SERVICES CONTRACTS,1K401,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER PROGRAM,CAST,CRGV ASSISTANCE,150
CAREGIVER SERVICES CONTRACTS,1K401,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER PROGRAM,CCNS,CRGV COUNSELING,858
CAREGIVER SERVICES CONTRACTS,1K401,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER PROGRAM,CINF,CRGV INFORMATION,120
CAREGIVER SERVICES CONTRACTS,1K401,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER PROGRAM,CORS,CRGV OTHER RESPITE,759
CAREGIVER SERVICES CONTRACTS,1K401,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER PROGRAM,COTR,CRGV OUTREACH,621
CAREGIVER SERVICES CONTRACTS,1K401,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER PROGRAM,CPUB,CRGV PUBLIC INFO,120
CAREGIVER SERVICES CONTRACTS,1K401,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER PROGRAM,CRTR,CRGV TRAINING,180
CAREGIVER SERVICES CONTRACTS,1K401,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER PROGRAM,CSUG,CRGV SUPPORT GROUPS,375
CAREGIVER SERVICES CONTRACTS,1K401,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER PROGRAM,GPRS,CRGV GROUP RESPITE,4800
CAREGIVER SERVICES CONTRACTS,1K401,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER PROGRAM,INRS,CRGV INDIVIDUAL RESPITE,4268
CAREGIVER SERVICES CONTRACTS,1K401,2019,PRESBYTERIAN SENIOR SERVICES,PSS CAREGIVER PROGRAM,SUPS,CRGV SUPPLEMENTAL SERV,1300
CAREGIVER SERVICES CONTRACTS,2K201,2019,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA BROOKLYN CAREGIVER RESPITE PROGRAM,CAST,CRGV ASSISTANCE,360
CAREGIVER SERVICES CONTRACTS,2K201,2019,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA BROOKLYN CAREGIVER RESPITE PROGRAM,CCNS,CRGV COUNSELING,260
CAREGIVER SERVICES CONTRACTS,2K201,2019,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA BROOKLYN CAREGIVER RESPITE PROGRAM,CINF,CRGV INFORMATION,475
CAREGIVER SERVICES CONTRACTS,2K201,2019,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA BROOKLYN CAREGIVER RESPITE PROGRAM,CORS,CRGV OTHER RESPITE,35
CAREGIVER SERVICES CONTRACTS,2K201,2019,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA BROOKLYN CAREGIVER RESPITE PROGRAM,COTR,CRGV OUTREACH,65
CAREGIVER SERVICES CONTRACTS,2K201,2019,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA BROOKLYN CAREGIVER RESPITE PROGRAM,CPUB,CRGV PUBLIC INFO,560
CAREGIVER SERVICES CONTRACTS,2K201,2019,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA BROOKLYN CAREGIVER RESPITE PROGRAM,CRTR,CRGV TRAINING,180
CAREGIVER SERVICES CONTRACTS,2K201,2019,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA BROOKLYN CAREGIVER RESPITE PROGRAM,CSUG,CRGV SUPPORT GROUPS,312
CAREGIVER SERVICES CONTRACTS,2K201,2019,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA BROOKLYN CAREGIVER RESPITE PROGRAM,GPRS,CRGV GROUP RESPITE,2660
CAREGIVER SERVICES CONTRACTS,2K201,2019,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA BROOKLYN CAREGIVER RESPITE PROGRAM,INRS,CRGV INDIVIDUAL RESPITE,7040
CAREGIVER SERVICES CONTRACTS,2K201,2019,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA BROOKLYN CAREGIVER RESPITE PROGRAM,SUPS,CRGV SUPPLEMENTAL SERV,1275
CAREGIVER SERVICES CONTRACTS,2K401,2019,HEIGHTS AND HILLS INC.,HEIGHTS AND HILL CAREGIVER PROGRAM,CAST,CRGV ASSISTANCE,250
CAREGIVER SERVICES CONTRACTS,2K401,2019,HEIGHTS AND HILLS INC.,HEIGHTS AND HILL CAREGIVER PROGRAM,CCNS,CRGV COUNSELING,500
CAREGIVER SERVICES CONTRACTS,2K401,2019,HEIGHTS AND HILLS INC.,HEIGHTS AND HILL CAREGIVER PROGRAM,CINF,CRGV INFORMATION,325
CAREGIVER SERVICES CONTRACTS,2K401,2019,HEIGHTS AND HILLS INC.,HEIGHTS AND HILL CAREGIVER PROGRAM,CORS,CRGV OTHER RESPITE,14
