ProviderType,DFTA ID,ProgramName,SponsorName,ProgramAddress,ProgramCity,ProgramState,Postcode,Borough,ProgramPhone,DFTA Funded,MonHourOpen,MonHourClose,TueHourOpen,TueHourClose,WedHourOpen,WedHourClose,ThuHourOpen,ThuHourClose,FriHourOpen,FriHourClose,SatHourOpen,SatHourClose,SunHourOpen,SunHourClose,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1
OLDER ADULT CENTER CONTRACTS,C9002,WAYSIDE OUT BROWNSVILLE SOCIAL CLUB (C90),WAYSIDE OUT-REACH DEVELOPMENT INC,528 Mother Gaston Blvd,BROOKLYN,NY,11212,BROOKLYN,347-938-8453,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.665956,-73.905923,316,41,912,3325326,3035610001,Brownsville,POINT (-73.905923 40.665956)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6502,STANLEY M. ISAACS NEIGHBORHOOD CENTER-TAFT NORC (N65),STANLEY M ISAACS NEIGHBORHOOD CENTER INC,415 EAST   93 STREET,NEW YORK,NY,10128,MANHATTAN,212-360-7620,Y,,,,,,,,,,,,,,,40.780904,-73.945112,108,05,152,1082367,1015730001,Yorkville,POINT (-73.945112 40.780904)
OLDER ADULT CENTER CONTRACTS,C2701,COUNCIL OF PEOPLES ORGANIZATION: HALAL SENIOR CENTER (C27),COUNCIL OF PEOPLES ORGANIZATION INC.,1075-1077 Coney Island Avenue,BROOKLYN,NY,11230,BROOKLYN,718-434-3266,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.631169,-73.966466,314,45,528,3178919,3066860080,Flatbush,POINT (-73.966466 40.631169)
OLDER ADULT CENTER CONTRACTS,C4401,INDIA HOME DESI SENIOR CENTER (C44),INDIA HOME INC,178-36 Wexford Terrace Queens NY 11432,JAMAICA,NY,11432,QUEENS,917-825-1559,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.713508,-73.784561,408,24,466,4534092,4099377501,Jamaica Estates-Holliswood,POINT (-73.784561 40.713508)
HOME DELIVERED MEAL SERVICE CONTRACTS,3CQ01,HENRY STREET GOOD COMPANION SENIOR CENTER (3CQ),HENRY STREET SETTLEMENT,334 Madison Street,NEW YORK,NY,10002,MANHATTAN,212-766-9200,Y,,,,,,,,,,,,,,,40.713266,-73.983237,103,02,202,1077526,1002600001,Lower East Side,POINT (-73.983237 40.713266)
HOMECARE SERVICES CONTRACTS,4HR01,PEOPLE CARE INC (4HR),PEOPLE CARE INCORPORATED,1649 61St Street,BROOKLYN,NY,11204,BROOKLYN,212-631-7384,Y,,,,,,,,,,,,,,,40.623549,-73.991333,312,44,242,3132079,3055170065,Borough Park,POINT (-73.991333 40.623549)
HOMECARE SERVICES CONTRACTS,5HR01,RICHMOND HOME NEED SERVICESINC. (5HR),RICHMOND HOME NEED SERVICES INC,3155 AMBOY ROAD,STATEN ISLAND,NY,10306,STATEN ISLAND,718-313-1401,Y,,,,,,,,,,,,,,,40.564389,-74.131879,503,51,14606,5107641,5044720001,Great Kills,POINT (-74.131879 40.564389)
OLDER ADULT CENTER CONTRACTS,2UY01,BORO PARK Y (2UY),YOUNG MENS AND YOUNG WOMENS HEBREW ASSOCIATION OF BORO PARK,4914 14 AVENUE,BROOKLYN,NY,11219,BROOKLYN,718-438-5921,Y,,,,,,,,,,,,,,,40.633562,-73.990071,312,44,236,,,Borough Park,POINT (-73.990071 40.633562)
HOME DELIVERED MEAL SERVICE CONTRACTS,4PU01,PROJECT LEAD (4PU),PROJECT LEAD INC.,123-19 Hillside Avenue,JAMAICA,NY,11418,QUEENS,718-495-6210,Y,,,,,,,,,,,,,,,40.70236,-73.82771,409,29,140,4193571,4092690025,Kew Gardens,POINT (-73.82771 40.70236)
ELDER ABUSE SERVICES CONTRACTS,1E302,ELDER JUSTICE PROGRAM - BRONX SOUTH (1E3),THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,975 Kelly Street Suite 401,BRONX,NY,10459,BRONX,718-542-0006,Y,,,,,,,,,,,,,,,40.822052,-73.895879,202,17,87,2114693,2027037501,Longwood,POINT (-73.895879 40.822052)
