ProviderType,DFTA ID,ProgramName,SponsorName,ProgramAddress,ProgramCity,ProgramState,Postcode,Borough,ProgramPhone,DFTA Funded,MonHourOpen,MonHourClose,TueHourOpen,TueHourClose,WedHourOpen,WedHourClose,ThuHourOpen,ThuHourClose,FriHourOpen,FriHourClose,SatHourOpen,SatHourClose,SunHourOpen,SunHourClose,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1
,32J01,LENOX HILL NEIGHBORHOOD HOUSE (32J),LENOX HILL NEIGHBORHOOD HOUSE INC,331 EAST   70 STREET,NEW YORK,NY,10021,MANHATTAN,212-744-5022,Y,,,,,,,,,,,,,,,40.766925,-73.95795,108,5,126,1044838,1014450014,Lenox Hill-Roosevelt Island,"(40.766925, -73.95795)"
,4V301,FAILTE CARE CORPORATION DBA NEW YORK IRISH CENTER (4V3),FAILTE CARE CORPORATION DBA NEW YORK IRISH CENTER,1040 Jackson Ave Ste 2,LONG ISLAND CITY,NY,11101,QUEENS,718-482-0909,Y,,,,,,,,,,,,,,,40.742199,-73.953274,402,26,7,4436600,4000400016,Hunters Point-Sunnyside-West Maspeth,"(40.742199, -73.953274)"
,40H01,SUNNYSIDE COMMUNITY SERVICES INC. (40H),SUNNYSIDE COMMUNITY SERVICES INC,43-31 39th Street,LONG ISLAND CITY,NY,11104,QUEENS,718-784-6173,Y,,,,,,,,,,,,,,,40.74519,-73.925909,402,26,179,4436677,4001910005,Hunters Point-Sunnyside-West Maspeth,"(40.74519, -73.925909)"
,5AC01,JCC GO KOSSAH (STAPLETON NORC) SADS (5AC),JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,189 GORDON STREET,STATEN ISLAND,NY,10304,STATEN ISLAND,718-981-8828,Y,,,,,,,,,,,,,,,40.623124,-74.082838,501,49,29,5108860,5005450100,Stapleton-Rosebank,"(40.623124, -74.082838)"
,2DZ01,NEW YORK MEMORY CENTER (2DZ),NEW YORK MEMORY CENTER INC. d/b/a PARK SLOPE GERIATRIC DAY,199 14 STREET,BROOKLYN,NY,11215,BROOKLYN,718-499-7701,Y,,,,,,,,,,,,,,,40.666966,-73.990448,306,39,141,3023430,3010340068,Park Slope-Gowanus,"(40.666966, -73.990448)"
,1ZL01,1332 FULTON AVENUE DAY CARE CENTER INC. (1ZL),1332 FULTON AVENUE DAY CARE CENTER INC.,1332 Fulton Avenue,BRONX,NY,10456,BRONX,917-282-3906,Y,,,,,,,,,,,,,,,40.833147,-73.902814,203,16,149,2009685,2029310015,Morrisania-Melrose,"(40.833147, -73.902814)"
OLDER ADULT CENTER CONTRACTS,C8001,SHORE HILL OLDER ADULT CENTER (C80),SUNSET PARK HEALTH COUNCIL INC d/b/a FAMILY HEALTH CENTERS A,9000 Shore Road,BROOKLYN,NY,11209,BROOKLYN,347-377-5474,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.622093,-74.040244,310,43,5201,3322532,3060780010,Bay Ridge,"(40.622093, -74.040244)"
,3D601,FAILTE CARE CORPORATION DBA NEW YORK IRISH CENTER (3D6),FAILTE CARE CORPORATION DBA NEW YORK IRISH CENTER,1040 Jackson Ave Ste 2,LONG ISLAND CITY,NY,11101,QUEENS,718-482-0909,Y,,,,,,,,,,,,,,,40.742199,-73.953274,402,26,7,4436600,4000400016,Hunters Point-Sunnyside-West Maspeth,"(40.742199, -73.953274)"
,2TF01,SUNSET PARK HEALTH COUNCIL (2TF),SUNSET PARK HEALTH COUNCIL INC d/b/a FAMILY HEALTH CENTERS A,150 55 STREET,BROOKLYN,NY,11220,BROOKLYN,718-630-8969,Y,,,,,,,,,,,,,,,40.646941,-74.02093,307,38,22,3014856,3008280001,Sunset Park West,"(40.646941, -74.02093)"
,11B01,RIVERDALE SENIOR SERVICES (11B),RIVERDALE SENIOR SERVICES INC,2600 NETHERLAND AVENUE,BRONX,NY,10463,BRONX,718-884-5900,Y,,,,,,,,,,,,,,,40.878744,-73.915679,208,11,29302,2083247,2057220475,Spuyten Duyvil-Kingsbridge,"(40.878744, -73.915679)"
